show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform
s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton",,2021-11-26,2016,TV-G,23 min,"Animation, Family",Join Mickey and the gang as they duck the halls!,Disney Plus
s2,Movie,Ernest Saves Christmas,John Cherry,"Jim Varney, Noelle Parker, Douglas Seale",,2021-11-26,1988,PG,91 min,Comedy,Santa Claus passes his magic bag to a new St. Nic.,Disney Plus
s3,Movie,Ice Age: A Mammoth Christmas,Karen Disher,"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah",United States,2021-11-26,2011,TV-G,23 min,"Animation, Comedy, Family",Sid the Sloth is on Santa's naughty list.,Disney Plus
s4,Movie,The Queen Family Singalong,Hamish Hamilton,"Darren Criss, Adam Lambert, Derek Hough, Alexander Jean, Fall Out Boy, Jimmie Allen",,2021-11-26,2021,TV-PG,41 min,Musical,"This is real life, not just fantasy!",Disney Plus
s5,TV Show,The Beatles: Get Back,,"John Lennon, Paul McCartney, George Harrison, Ringo Starr",,2021-11-25,2021,,1 Season,"Docuseries, Historical, Music",A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.,Disney Plus
s6,Movie,Becoming Cousteau,Liz Garbus,"Jacques Yves Cousteau, Vincent Cassel",United States,2021-11-24,2021,PG-13,94 min,"Biographical, Documentary",An inside look at the legendary life of adventurer Jacques-Yves Cousteau.,Disney Plus
s7,TV Show,Hawkeye,,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon",,2021-11-24,2021,TV-14,1 Season,"Action-Adventure, Superhero",Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.,Disney Plus
s8,TV Show,Port Protection Alaska,,"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb",United States,2021-11-24,2015,TV-14,2 Seasons,"Docuseries, Reality, Survival",Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.,Disney Plus
s9,TV Show,Secrets of the Zoo: Tampa,,"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky",United States,2021-11-24,2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family",A day in the life at ZooTampa is anything but ordinary. It's extraordinary!,Disney Plus
s10,Movie,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",United States,2021-11-19,2008,G,45 min,"Comedy, Family, Musical",Celebrate the holiday season with all your favorite Muppets.,Disney Plus
s11,Movie,Adventure Thru the Walt Disney Archives,John Gleim,"Don Hahn, Kathryn Beaumont, Pete Docter, Kevin Feige, Mark Hamill, Bob Iger",,2021-11-19,2020,TV-PG,59 min,Documentary,Explore the treasures and rich history of the Walt Disney Archives.,Disney Plus
s12,Movie,Puppy for Hanukkah,,,,2021-11-19,2020,TV-G,4 min,"Comedy, Family, Music","Check out Daveed Digg's official music video ""Puppy for Hanukkah!""",Disney Plus
s13,Movie,The Pixar Story,Leslie Iwerks,"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas",United States,2021-11-19,2007,G,91 min,"Documentary, Family",A groundbreaking company forever changes the face of filmmaking.,Disney Plus
s14,TV Show,"Dr. Oakley, Yukon Vet",,"Dr. Michelle Oakley, Zachary Fine",United States,2021-11-17,2013,TV-PG,10 Seasons,"Action-Adventure, Animals & Nature, Docuseries","Meet Dr. Michelle Oakley, vet to pretty much everything that moves in the rugged Yukon.",Disney Plus
s15,Movie,America the Beautiful,,Michael B. Jordan,,2021-11-12,2021,TV-PG,2 min,Animals & Nature,"Epic, grand portrait of the land across four regions on the most extreme continent. Coming in 2022.",Disney Plus
s16,Movie,Baymax!,,,,2021-11-12,2021,TV-G,1 min,Animation,“Baymax!” premieres on Disney+ summer 2022.,Disney Plus
s17,Movie,Ciao Alberto,McKenna Harris,"Jack Dylan Grazer, Marco Barricelli",,2021-11-12,2021,TV-PG,8 min,"Animation, Comedy, Family",Fun-loving sea monster Alberto whole-heartedly wants to prove himself to his stoic mentor Massimo.,Disney Plus
s18,TV Show,Disney Fancy Nancy,,"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath","United States, Canada",2021-11-12,2018,TV-PG,3 Seasons,"Animation, Kids",Nancy makes every day extraordinary!,Disney Plus
s19,TV Show,Disney Intertwined,,"Carolina Domenech, José Jiménez Zapiola, Kevsho, Elena Roger, Clara Alonso, Emilia Mernes",,2021-11-12,2021,TV-PG,1 Season,"Comedy, Coming of Age, Drama",Allegra is ready to change the past in order to reach her dream.,Disney Plus
s20,Movie,Enchanted,Kevin Lima,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel, Susan Sarandon",United States,2021-11-12,2007,PG,110 min,"Comedy, Family, Fantasy",An animated princess winds up in the real world of modern-day Manhattan.,Disney Plus
s21,Movie,Feast,Patrick Osborne,"Stephen Apostolina, Kirk Baily, Ben Bledsoe, David Cowgill, Terri Douglas, Fuschia!",United States,2021-11-12,2014,G,8 min,"Animation, Comedy, Drama",One man's love life seen through the eyes of his dog.,Disney Plus
s22,Movie,Frozen Fever,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Chris Williams",United States,2021-11-12,2015,G,11 min,"Animation, Family, Fantasy",Elsa wants to give Anna the best birthday party ever.,Disney Plus
s23,Movie,Get a Horse!,Lauren MacMullan,"Walt Disney, Marcellite Garner, Russi Taylor, Billy Bletcher, Will Ryan, Bob Bergen",United States,2021-11-12,2013,G,7 min,"Action-Adventure, Animation, Comedy",Mickey and friends hitch a ride on a musical hay wagon.,Disney Plus
s24,Movie,Home Sweet Home Alone,Dan Mazer,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, Kenan Thompson, Tim Simons",United States,2021-11-12,2021,PG,95 min,"Comedy, Family","Alone for the holidays, Max Mercer will do whatever it takes to protect his home from trespassers.",Disney Plus
s25,Movie,Jungle Cruise,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramirez, Jack Whitehall, Jesse Plemons, Paul Giamatti",United States,2021-11-12,2021,PG-13,129 min,"Action-Adventure, Comedy, Family",Dr. Lily Houghton & skipper Frank Wolff team up for a wild ride on the Amazon.,Disney Plus
s26,Movie,Limitless with Chris Hemsworth,,Chris Hemsworth,,2021-11-12,2021,TV-14,2 min,Lifestyle,"""Limitless with Chris Hemsworth"" is coming to Disney+ in 2022.",Disney Plus
s27,Movie,Marvel Studios’ 2021 Disney+ Day Special,,,,2021-11-12,2021,TV-PG,14 min,Movies,"Marvel Studios’ Disney+ Day Special explores the Disney+ series of the MCU – past, present and future.",Disney Plus
s28,Movie,Obi-Wan Kenobi,,,,2021-11-12,2021,TV-PG,1 min,"Action-Adventure, Science Fiction","A behind the scenes look of the ""Obi-Wan Kenobi"" special event series. Coming to Disney+ in 2022.",Disney Plus
s29,TV Show,Olaf Presents,,Josh Gad,,2021-11-12,2021,TV-PG,1 Season,"Animation, Family",Olaf goes from snowman to showman for his unique retelling of five favorite Disney Animation tales.,Disney Plus
s30,Movie,Paperman,John Kahrs,"John Kahrs, Kari Wahlgren",United States,2021-11-12,2012,G,7 min,"Animation, Comedy, Family",A young man strives to find girl of his dreams.,Disney Plus
s31,Movie,Pixar 2021 Disney+ Day Special,,"Pete Docter, Larry the Cable Guy, Jack Dylan Grazer, Domee Shi, Angus MacLane",,2021-11-12,2021,G,5 min,Movies,Join Pete Docter for a tour around Pixar and get a sneak peek at several upcoming Disney+ releases.,Disney Plus
s32,Movie,Shang-Chi and The Legend of The Ten Rings,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Leung, Michelle Yeoh, Meng'er Zhang, Ben Kingsley","United States, Australia",2021-11-12,2021,PG-13,134 min,"Action-Adventure, Fantasy, Superhero","Shang-Chi must confront his father, leader of the Ten Rings organization.",Disney Plus
s33,Movie,Spin,Manjari Makijany,"Avantika, Michael Bishop, Anna Cathcart, Jahbril Cook, Kerri Medders, Aryan Simhadri",,2021-11-12,2021,TV-G,94 min,"Coming of Age, Music",Rhea discovers her passion for creating DJ mixes!,Disney Plus
s34,Movie,Tangled Ever After,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Alan Dale, Paul F. Tompkins, Kari Wahlgren, Mark Allen Stewart",United States,2021-11-12,2012,G,9 min,"Animation, Family",It's up to Max and Pascal to save the royal wedding.,Disney Plus
s35,Movie,The Ballad of Nessie,"Stevie Wermers-Skelton, Kevin Deters",Billy Connolly,,2021-11-12,2011,G,8 min,"Animation, Family, Fantasy",A colorful tale about the friendly Loch Ness monster.,Disney Plus
s36,Movie,The Little Matchgirl,Roger Allers,,United States,2021-11-12,2006,G,7 min,"Animation, Drama",A poor matchgirl sees happy images in the flames of her matches.,Disney Plus
s37,Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,David Clair,"Billie Eilish, FINNEAS, Gustavo Dudamel, Patrick Osborne, Robert Rodriguez",,2021-11-12,2021,TV-PG,30 min,"Concert Film, Music","Go behind the scenes of ""Happier Than Ever: A Love Letter to Los Angeles.""",Disney Plus
s38,Movie,The Proud Family: Louder and Prouder,,"Kyla Pratt, Tommy Davidson, Paula Jai Parker, JoMarie Payton, Cedric the Entertainer",,2021-11-12,2021,TV-G,1 min,"Animation, Comedy, Coming of Age","""The Proud Family: Louder and Prouder"" follows Penny Proud and her family. Coming in February 2022.",Disney Plus
s39,Movie,The Simpsons in Plusaversary,David Silverman,"Dan Castellaneta, Nancy Cartwright, Yeardley Smith, Tress MacNeille, Hank Azaria",,2021-11-12,2021,TV-PG,6 min,"Animation, Comedy",Celebrate Disney+ Day with The Simpsons and their friends from across the service.,Disney Plus
s40,Movie,Tick Tock Tale,Dean Wellins,,United States,2021-11-12,2010,G,6 min,"Animation, Crime, Family",A tale of a quirky mantle clock.,Disney Plus
s41,Movie,Under the Helmet: The Legacy of Boba Fett,,,,2021-11-12,2021,TV-PG,22 min,Science Fiction,"A special celebrating the origins and legacy of Star Wars’ legendary bounty hunter, Boba Fett.",Disney Plus
s42,Movie,Willow,,,,2021-11-12,2021,TV-PG,3 min,"Action-Adventure, Fantasy","Meet the cast of the all-new Disney+ fantasy-adventure series ""Willow."" Coming to Disney+ in 2022.",Disney Plus
s43,Movie,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler, Jesse McCartney",United States,2021-11-05,2011,G,87 min,"Comedy, Family, Music",The Chipmunks and Chipettes get stranded on a remote island – or so it would seem.,Disney Plus
s44,Movie,Jingle All The Way,Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, Robert Conrad, Martin Mull",United States,2021-11-05,1996,PG,90 min,"Comedy, Family",A father's Christmas Eve turns into a madcap scramble to find a much sought-after toy for his son.,Disney Plus
s45,Movie,Jingle All the Way 2,Alex Zamm,"Larry the Cable Guy, Brian Stepanek, Santino Marella, Kennedi Clements, Kirsten Robek, Rachel Hayward",United States,2021-11-05,2014,PG,91 min,"Comedy, Family",Two dads compete to be the best father and make Christmas amazing!,Disney Plus
s46,Movie,Prep & Landing: Operation Secret Santa,"Kevin Deters, Stevie Wermers-Skelton","Betty White, Dave Foley, Derek Richardson, Sarah Chalke, W. Morgan Sheppard",,2021-11-05,2010,TV-G,8 min,"Animation, Family, Fantasy",Mrs. Claus enlists two elves in a secret mission.,Disney Plus
s47,Movie,Santa Buddies: The Legend of Santa Paws,Robert Vince,"Christopher Lloyd, Danny Woodburn, Craig Anton, Michael Teigen, Ben Giroux, Paul Rae","United States, Canada",2021-11-05,2009,G,93 min,"Comedy, Fantasy, Kids","The Buddies remind Santa Paws' feisty son, Puppy Paws, about the true meaning of Christmas.",Disney Plus
s48,Movie,Snow Buddies,Robert Vince,"Dominic Scott Kay, John Kapelos, Lise Simms, Mike Dopud, Charles C. Stevenson Jr., Dylan Minnette",United States,2021-11-05,2008,G,91 min,"Action-Adventure, Comedy, Kids",Disney’s favorite talking pups put one paw in front of the other in a thrilling Alaskan adventure.,Disney Plus
s49,Movie,Space Buddies,Robert Vince,"F.T. Anderson, Diedrich Bader, Field Cate, Kendall Cross, Mike Dopud, Mark Downey","United States, Canada",2021-11-05,2009,G,87 min,"Action-Adventure, Comedy, Kids","Disney's most adventurous talking pups take one small step for dog, one giant leap for dogkind.",Disney Plus
s50,Movie,The Search for Santa Paws,Robert Vince,"Resse Alexander, Diedrich Bader, Sahar Biniaz, Jan Boss, Ameko Eks Mass Carroll, Melody Choi",Canada,2021-11-05,2010,G,101 min,"Drama, Family, Fantasy",Discover how the legendary friendship of Santa Claus and Santa Paws began.,Disney Plus
s51,Movie,X-Men: First Class,Matthew Vaughn,"James McAvoy, Michael Fassbender, Rose Byrne, Jennifer Lawrence, January Jones, Nicholas Hoult","United States, United Kingdom",2021-11-05,2011,PG-13,132 min,"Action-Adventure, Science Fiction, Superhero","Following the classic mythology, X-Men: First Class charts the epic beginning of the X-Men saga.",Disney Plus
s52,TV Show,Disney Amphibia,,"Justin Felbinger, Amanda Leighton, Bill Farmer, Brenda Song","United States, South Korea",2021-11-03,2018,TV-Y7,3 Seasons,"Animation, Comedy, Family",Anne Boonchuy is transported to the world of Amphibia.,Disney Plus
s53,TV Show,Photo Ark,,Joel Sartore,United States,2021-11-03,2017,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",National Geographic photographer Joel Sartore photographs some of the rarest animals in the world.,Disney Plus
s54,TV Show,Storm Rising,,,,2021-11-03,2021,TV-14,1 Season,"Action-Adventure, Animals & Nature, Docuseries",Storm chasers Reed Timmer and Mike Theiss track and study a new category of deadly storms.,Disney Plus
s55,Movie,Bob Ballard: An Explorer's Life,,,,2021-10-29,2021,TV-PG,44 min,"Biographical, Documentary","An intimate portrait of Bob Ballard, the legendary explorer who found the Titanic.",Disney Plus
s56,Movie,"McFarland, USA",Niki Caro,"Kevin Costner, Maria Bello, Morgan Saylor, Martha Higareda, Michael Aguero, Sergio Avelar",United States,2021-10-29,2015,PG,131 min,"Drama, Sports",A coach guides underdogs past tremendous obstacles to become champions.,Disney Plus
s57,Movie,Rookie of the Year,Daniel Stern,"Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton, Dan Hedaya, Eddie Bracken",United States,2021-10-22,1993,PG,104 min,"Comedy, Family, Sports","A 12-year-old boy can throw a 100 mph fastball, and the Chicago Cubs want him as their new pitcher!",Disney Plus
s58,Movie,Thumbelina,"Don Bluth, Gary Goldman","Gino Conforti, Barbara Cook, Jodi Benson, Will Ryan, June Foray, Kenneth Mars","Ireland, United States, Canada, United Kingdom, Denmark, Spain, Poland, Hungary",2021-10-22,1994,G,87 min,"Animation, Family, Fantasy",A digit-sized heroine evades the clutches of various creatures so she can reunite with her prince.,Disney Plus
s59,TV Show,PJ Masks,,"Kyle Breitkopf, Jacob Ursomarzo, Addison Holley","France, United Kingdom",2021-10-20,2015,TV-Y7,5 Seasons,"Action-Adventure, Animation, Kids",Look out Night Time Baddies the PJ Masks are coming!,Disney Plus
s60,TV Show,The Wild Life of Dr. Ole,,,,2021-10-20,2021,TV-PG,1 Season,"Animals & Nature, Reality","Doc Ole practices his unique brand of animal care with wit, expertise and insight.",Disney Plus
s61,Movie,Lost Cities with Albert Lin: The Great Flood,Jim Greayer,Dr. Albert Yu-Min Lin,,2021-10-15,2021,TV-PG,44 min,"Documentary, Historical",Albert Lin is on a global quest to find the origins of Great Flood stories.,Disney Plus
s62,Movie,Megacity of the Maya Warriors,Ben Crichton,Albert Lin,,2021-10-15,2021,TV-PG,44 min,Documentary,Albert Lin sets out to solve an ancient mystery and find a Lost Maya city.,Disney Plus
s63,TV Show,Apollo: Back To The Moon,,"Bill Anders, Jack Clemons, Fred Haise, Glynn Lunney, Jay Barbree, Brad Vinikow",,2021-10-13,2019,TV-PG,1 Season,"Docuseries, Historical","Follow the Apollo lunar landing program from the inside, as never shown before.",Disney Plus
s64,TV Show,Just Beyond,,"Mckenna Grace, Lexi Underwood, Cedric Joe, Tim Heidecker, Riki Lindhome, Nasim Pedrad",,2021-10-13,2021,TV-PG,1 Season,"Anthology, Comedy, Coming of Age","Inspired by the writings of R.L. Stine, “Just Beyond” is a supernatural anthology series.",Disney Plus
s65,TV Show,Secrets Of The Zoo: Down Under,,Naomi Watts,,2021-10-13,2020,TV-14,2 Seasons,"Animals & Nature, Docuseries, Family",This series is a behind-the-scenes look at one of the world’s most famous zoos.,Disney Plus
s66,TV Show,Secrets of the Zoo: North Carolina,,,,2021-10-13,2020,TV-14,1 Season,Reality,"The North Carolina Zoo has more than 1,000 animals that live in lush natural habitats.",Disney Plus
s67,TV Show,The Wizard of Paws,,,,2021-10-13,2021,TV-PG,1 Season,"Animals & Nature, Docuseries, Medical",Follow pet prosthetics pioneer Derrick Campana as he gives troubled animals a second chance.,Disney Plus
s68,TV Show,Zombies: Addison's Moonstone Mystery,,,,2021-10-13,2020,TV-G,1 Season,"Animation, Coming of Age, Fantasy",Things are smooth sailing at Seabrook High until ...,Disney Plus
s69,Movie,Just Roll With It: You Decide Live!,,"Tobie Windham, Suzi Barrett, Ramon Reed, Kaylin Hayman, JC Currais, Raven-Symoné",,2021-10-08,2019,G,52 min,Comedy,The Bennett-Blatts set out to reverse an evil curse!,Disney Plus
s70,Movie,Mickey's Tale of Two Witches,Jeff Gordon,"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Daniel Ross, Tress MacNeille, Jim Cummings",,2021-10-08,2021,TV-Y,47 min,"Animation, Family, Fantasy",Mickey tells a tale of two witches-in-training!,Disney Plus
s71,Movie,Muppets Haunted Mansion,Kirk Thatcher,"Dave Goelz, Bill Barretta, Will Arnett, Taraji P. Henson, Yvette Nicole Brown, Darren Criss",,2021-10-08,2021,TV-PG,53 min,"Comedy, Family, Musical",Gonzo is challenged to spend Halloween night in the scariest place on Earth – the Haunted Mansion.,Disney Plus
s72,Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,Dave Hoffman,"Whoopi Goldberg, Christina Aguilera, Halle Bailey, Orlando Philharmonic Orchestra, Anthony Anderson, Tom Brady",,2021-10-08,2021,TV-PG,85 min,"Family, Variety",Celebrating 50 years of the Walt Disney World Resort.,Disney Plus
s73,Movie,Under Wraps,Alex Zamm,"Malachi Barton, Christian J. Simon, Sophia Hammons, Melanie Brook, Brent Stait, Jordana Largy",,2021-10-08,2021,TV-G,92 min,"Action-Adventure, Comedy, Kids",Three friends revive a mummy in a neighbor's basement.,Disney Plus
s74,TV Show,Among the Stars,,Chris Cassidy,,2021-10-06,2021,TV-PG,1 Season,Docuseries,NASA Astronaut Captain Chris Cassidy and the NASA team take on the challenges of space exploration.,Disney Plus
s75,Movie,Black Widow,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour, O-T Fagbenle, Rachel Weisz, Ray Winstone",United States,2021-10-06,2021,PG-13,135 min,"Action-Adventure, Science Fiction, Spy/Espionage",Natasha confronts her history as a spy and the broken relationships left in her wake.,Disney Plus
s76,TV Show,Drain the Oceans,,Russell Boulter,"United Kingdom, Australia",2021-10-06,2017,TV-PG,4 Seasons,"Docuseries, Historical",Pull the plug on the ocean to reveal hidden secrets using groundbreaking technology.,Disney Plus
s77,TV Show,Drain The Oceans: The Mississippi River & Arctic War,,Kerry Shale,,2021-10-06,2021,TV-14,1 Season,"Docuseries, Historical",Drain the Oceans takes underwater archaeology into a whole new era.,Disney Plus
s78,Movie,Fauci,"John Hoffman, Janet Tobias","Dr. Anthony Fauci, Bono, George W. Bush, Peter Staley",United States,2021-10-06,2021,PG-13,105 min,"Biographical, Documentary","""Fauci"" reveals the extraordinary life and career of Dr. Anthony Fauci.",Disney Plus
s79,TV Show,IMPACT with Gal Gadot,,Gal Gadot,United States,2021-10-06,2021,TV-14,1 Season,Docuseries,National Geographic Presents IMPACT with Gal Gadot honors impactful women.,Disney Plus
s80,TV Show,The Ghost and Molly McGee,,"Ashly Burch, Dana Snyder",United States,2021-10-06,2021,TV-Y7,1 Season,"Animation, Buddy, Coming of Age",A grumpy ghost and cheerful tween are eternally bound.,Disney Plus
s81,Movie,Alvin and the Chipmunks,Tim Hill,"Jason Lee, David Cross, Cameron Richardson, Jane Lynch, Justin Long, Matthew Gray Gubler",United States,2021-10-01,2007,PG,91 min,"Animation, Comedy, Family","Pop-singer Chipmunks Alvin, Simon and Theodore turn a songwriter's life upside-down.",Disney Plus
s82,Movie,Alvin and the Chipmunks: The Road Chip,Walt Becker,"Jason Lee, Tony Hale, Kimberly Williams-Paisley, Josh Green, Bella Thorne, Uzo Aduba",United States,2021-10-01,2015,PG,92 min,"Comedy, Family, Music","Your favorite fur balls, the Chipmunks, hit the road for an all-new, music-filled adventure.",Disney Plus
s83,Movie,LEGO Star Wars Terrifying Tales,Ken Cunningham,"Jake Green, Raphael Alejandro, Dana Snyder, Tony Hale, Christian Slater, Trevor Devall",,2021-10-01,2021,TV-Y7-FV,47 min,"Action-Adventure, Animation, Science Fiction",Poe and BB-8 are told terrifying tales as they search for help in Darth Vader’s creepy old castle.,Disney Plus
s84,Movie,Maleficent,Robert Stromberg,"Angelina Jolie, Sharlto Copley, Elle Fanning, Sam Riley, Imelda Staunton, Juno Temple","United States, United Kingdom",2021-10-01,2014,PG,99 min,"Action-Adventure, Family, Fantasy","Driven by revenge, Maleficent places a curse upon the king’s newborn infant, Aurora.",Disney Plus
s85,Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,"Alonso Ramirez Ramos, Eddie Trigueros, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor",,2021-10-01,2017,TV-G,22 min,"Animation, Family, Parody",Mickey tells a scary story on Halloween.,Disney Plus
s86,TV Show,Disney Vampirina,,"Isabella Crovetti, Lauren Graham, James Van Der Beek, Jordan Davis, Wanda Sykes, Mitchell Whitfield","Ireland, United States",2021-09-29,2017,TV-Y7,3 Seasons,"Animation, Fantasy, Kids",Vampirina is the new girl in town!,Disney Plus
s87,TV Show,Disney's Magic Bake-Off,,"Issac Ryan Brown, Dara Reneé, Graciela Gomez",United States,2021-09-29,2021,TV-G,1 Season,"Family, Game Show / Competition",Kid bakers compete to be named Disney Baking Champion.,Disney Plus
s88,TV Show,Great Barrier Reef,,Don Halbert,,2021-09-29,2020,TV-PG,1 Season,"Animals & Nature, Docuseries",Explore the complex Great Barrier Reef along with the wildlife that inhabit it.,Disney Plus
s89,TV Show,Ready for Preschool,,,,2021-09-29,2019,TV-Y,2 Seasons,"Kids, Music",The love of learning begins with Disney Junior!,Disney Plus
s90,TV Show,Rolie Polie Olie,,"Cole Caplan, Kristen Bone, Robert Smith, Catherine Disher, Adrian Truss, Len Carlson","Canada, United States, France",2021-09-29,1998,TV-Y,5 Seasons,"Animation, Science Fiction",Rolie Polie Olie’s life and adventures center on his Robo-family.,Disney Plus
s91,TV Show,Star Wars Galaxy of Sounds,,,,2021-09-29,2021,TV-PG,1 Season,"Animation, Anthology, Science Fiction","""Star Wars Galaxy of Sounds"" immerses audiences in the nostalgic ambience of a galaxy far, far away.",Disney Plus
s92,TV Show,The Hatcher Family Dairy,,,,2021-09-29,2021,TV-14,1 Season,"Animals & Nature, Docuseries, Reality","The Hatcher Family enjoys a nonstop circus of animals, farming and family.",Disney Plus
s93,TV Show,The Simpsons,,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Pamela Hayden",United States,2021-09-29,1989,TV-PG,32 Seasons,"Animation, Comedy","The world’s favorite nuclear family, in the award-winning, history-making series.",Disney Plus
s94,Movie,A Spark Story,"Jason Sterman, Leanne Dare","Apthon Corbin, Louis Gonzales",,2021-09-24,2021,TV-PG,88 min,Documentary,Two Pixar filmmakers strive to bring their uniquely personal SparkShorts visions to the screen.,Disney Plus
s95,Movie,Spooky Buddies,Robert Vince,"Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox","United States, Canada",2021-09-24,2011,G,93 min,"Comedy, Fantasy, Kids",The puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick.,Disney Plus
s96,Movie,The Fault in Our Stars,Josh Boone,"Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe",United States,2021-09-24,2014,PG-13,127 min,"Coming of Age, Drama, Romance",Hazel and Gus share a love that sweeps them on an unforgettable journey.,Disney Plus
s97,TV Show,Dog: Impossible,,Matt Beisner,United States,2021-09-22,2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family",Matt Beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs.,Disney Plus
s98,TV Show,Spidey And His Amazing Friends,,"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino",United States,2021-09-22,2021,TV-Y,1 Season,"Action-Adventure, Animation, Kids",Spidey teams up with pals to become The Spidey Team!,Disney Plus
s99,TV Show,Star Wars: Visions,,,,2021-09-22,2021,TV-PG,1 Season,"Action-Adventure, Animation, Anime",An animated anthology celebrating Star Wars through the lens of the world’s best anime creators.,Disney Plus
s100,Movie,Confessions of a Shopaholic,P.J. Hogan,"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas",United States,2021-09-17,2009,PG,106 min,"Comedy, Romance, Romantic Comedy",Becky writes a personal finance column en route to a high-fashion mag job.,Disney Plus
s101,Movie,Descendants: Royal Wedding,Salvador Simó,"Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson",,2021-09-17,2021,TV-G,22 min,"Animation, Fantasy, Musical",Mal and Ben’s wedding is finally here!,Disney Plus
s102,Movie,Disney's Broadway Hits at London's Royal Albert Hall,Jay Hatcher,"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White",,2021-09-17,2016,TV-G,116 min,"Concert Film, Music",Experience the magic of Disney on Broadway in an unforgettable night of music.,Disney Plus
s103,Movie,Flooded Tombs of the Nile,Katie Bauer Murdock,Devin E. Haqq,,2021-09-17,2021,TV-PG,44 min,Documentary,Archaeologists dive into a pyramid flooded by the Nile to search for a king’s burial.,Disney Plus
s104,Movie,Jade Eyed Leopard,,Jeremy Irons,,2021-09-17,2020,TV-PG,44 min,"Animals & Nature, Documentary","Jade Eyed Leopard follows a leopard, Toto, throughout the first three years of her life.",Disney Plus
s105,Movie,Nona,Louis Gonzales,,,2021-09-17,2021,G,9 min,"Animation, Comedy, Family",A grandmother's plan for a day alone is upended by an unexpected visit from her granddaughter.,Disney Plus
s106,Movie,Smoky Mountain Park Rangers,,Peter Jessop,,2021-09-17,2021,TV-PG,42 min,"Animals & Nature, Documentary",Park Rangers protect the wildlife in Great Smoky Mountain National Park.,Disney Plus
s107,TV Show,Life Below Zero,,"Chip Hailstone, Agnes Hailstone, Sue Aikens, Andy Bassich",United States,2021-09-15,2012,TV-14,16 Seasons,"Action-Adventure, Animals & Nature, Docuseries","Experience life deep in Alaska where the primal way lives on – brave the wild, fight the freeze.",Disney Plus
